Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:37:54.712 AM 2026-08-04 	 4.024534 	 297.647000 	 44.546000 	 -106.501030 	 4.009375 	 297.647000 	 44.546000 	 -106.501030 	 108.706517 	 108.882994 	 298.677833
11:37:59.829 AM 2026-08-04 	 4.026861 	 297.647000 	 44.546000 	 -105.467289 	 4.013460 	 297.647000 	 44.546000 	 -105.467289 	 108.706815 	 108.882101 	 298.677486
11:38:04.957 AM 2026-08-04 	 4.016873 	 297.647000 	 44.546000 	 -105.857237 	 4.008806 	 297.647000 	 44.546000 	 -105.857237 	 108.706339 	 108.882517 	 298.677213
11:38:10.098 AM 2026-08-04 	 4.023168 	 297.647000 	 44.546000 	 -105.197922 	 4.008605 	 297.647000 	 44.546000 	 -105.197922 	 108.706577 	 108.881803 	 298.676941
11:38:15.218 AM 2026-08-04 	 4.024861 	 297.647000 	 44.546000 	 -105.656480 	 4.006978 	 297.647000 	 44.546000 	 -105.656480 	 108.706815 	 108.881922 	 298.676074
11:38:20.343 AM 2026-08-04 	 4.025031 	 297.647000 	 44.546000 	 -106.532439 	 4.012873 	 297.647000 	 44.546000 	 -106.532439 	 108.706637 	 108.882517 	 298.675727
11:38:25.505 AM 2026-08-04 	 4.023131 	 297.647000 	 44.546000 	 -106.121493 	 4.013189 	 297.647000 	 44.546000 	 -106.121493 	 108.707053 	 108.882041 	 298.675999
11:38:30.617 AM 2026-08-04 	 4.016730 	 297.647000 	 44.546000 	 -105.970259 	 4.011025 	 297.647000 	 44.546000 	 -105.970259 	 108.706458 	 108.882041 	 298.675628
11:38:35.736 AM 2026-08-04 	 4.023994 	 297.647000 	 44.546000 	 -106.154691 	 4.008111 	 297.647000 	 44.546000 	 -106.154691 	 108.707053 	 108.882517 	 298.675727
11:38:40.892 AM 2026-08-04 	 4.021216 	 297.647000 	 44.546000 	 -106.384533 	 4.008432 	 297.647000 	 44.546000 	 -106.384533 	 108.707292 	 108.882815 	 298.675281
11:38:46.044 AM 2026-08-04 	 4.033603 	 297.647000 	 44.546000 	 -105.588188 	 4.012765 	 297.647000 	 44.546000 	 -105.588188 	 108.706875 	 108.883887 	 298.675256
11:38:51.147 AM 2026-08-04 	 4.024310 	 297.647000 	 44.546000 	 -105.472374 	 4.010967 	 297.647000 	 44.546000 	 -105.472374 	 108.707173 	 108.885496 	 298.674562
11:38:56.297 AM 2026-08-04 	 4.028498 	 297.647000 	 44.546000 	 -105.866762 	 4.007808 	 297.647000 	 44.546000 	 -105.866762 	 108.707053 	 108.886508 	 298.674191
11:39:01.386 AM 2026-08-04 	 4.022742 	 297.647000 	 44.546000 	 -105.442828 	 4.015136 	 297.647000 	 44.546000 	 -105.442828 	 108.707173 	 108.887283 	 298.673348
11:39:06.536 AM 2026-08-04 	 4.022395 	 297.647000 	 44.546000 	 -104.601219 	 4.015171 	 297.647000 	 44.546000 	 -104.601219 	 108.706934 	 108.887104 	 298.673398
11:39:11.668 AM 2026-08-04 	 4.022777 	 297.647000 	 44.546000 	 -106.765039 	 4.008368 	 297.647000 	 44.546000 	 -106.765039 	 108.706994 	 108.887759 	 298.672878
11:39:16.796 AM 2026-08-04 	 4.018061 	 297.647000 	 44.546000 	 -105.185669 	 4.008537 	 297.647000 	 44.546000 	 -105.185669 	 108.707173 	 108.888474 	 298.672531
11:39:21.898 AM 2026-08-04 	 4.024680 	 297.647000 	 44.546000 	 -105.943464 	 4.008540 	 297.647000 	 44.546000 	 -105.943464 	 108.707530 	 108.888355 	 298.672011
11:39:27.049 AM 2026-08-04 	 4.024213 	 297.647000 	 44.546000 	 -106.969670 	 4.021618 	 297.647000 	 44.546000 	 -106.969670 	 108.707292 	 108.889189 	 298.671589
11:39:32.196 AM 2026-08-04 	 4.030238 	 297.647000 	 44.546000 	 -106.462772 	 4.002864 	 297.647000 	 44.546000 	 -106.462772 	 108.707113 	 108.889248 	 298.671193
11:39:37.361 AM 2026-08-04 	 4.025556 	 297.647000 	 44.546000 	 -105.494101 	 4.006003 	 297.647000 	 44.546000 	 -105.494101 	 108.707232 	 108.889844 	 298.671267
