Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:48:28.888 AM 2026-08-02 	 2.140721 	 1.024450 	 295.802130 	 295.408509 	 -66358.955719 	 -66358.955719 	 295.457372 	 295.367420
12:48:34.026 AM 2026-08-02 	 1.260612 	 0.229745 	 295.802436 	 295.409581 	 -66359.016563 	 -66359.016563 	 295.472219 	 295.343647
12:48:39.168 AM 2026-08-02 	 1.689596 	 0.779615 	 295.803968 	 295.409122 	 -66358.925296 	 -66358.925296 	 295.456306 	 295.355520
12:48:44.290 AM 2026-08-02 	 1.663933 	 0.062743 	 295.801976 	 295.407742 	 -66358.925296 	 -66358.925296 	 295.458190 	 295.350810
12:48:49.465 AM 2026-08-02 	 2.121096 	 0.466267 	 295.802589 	 295.407436 	 -66358.864452 	 -66358.864452 	 295.457941 	 295.341140
12:48:54.601 AM 2026-08-02 	 1.218595 	 0.994475 	 295.802130 	 295.407129 	 -66358.925296 	 -66358.925296 	 295.477497 	 295.363056
12:48:59.727 AM 2026-08-02 	 2.206893 	 0.736039 	 295.802436 	 295.406976 	 -66358.931381 	 -66358.931381 	 295.460569 	 295.341414
12:49:04.870 AM 2026-08-02 	 1.595748 	 0.814376 	 295.802589 	 295.408355 	 -66358.931381 	 -66358.931381 	 295.473755 	 295.362139
12:49:10.011 AM 2026-08-02 	 1.630973 	 1.331753 	 295.802436 	 295.406210 	 -66358.900959 	 -66358.900959 	 295.464212 	 295.354949
12:49:15.152 AM 2026-08-02 	 1.846094 	 0.493723 	 295.802130 	 295.404830 	 -66358.761018 	 -66358.761018 	 295.454692 	 295.347782
12:49:20.301 AM 2026-08-02 	 3.249287 	 0.892713 	 295.802130 	 295.403297 	 -66358.657584 	 -66358.657584 	 295.460862 	 295.345946
12:49:25.453 AM 2026-08-02 	 2.548319 	 0.119166 	 295.801517 	 295.402071 	 -66358.584573 	 -66358.584573 	 295.477044 	 295.333872
12:49:30.575 AM 2026-08-02 	 1.723311 	 1.857190 	 295.802896 	 295.400079 	 -66358.517647 	 -66358.517647 	 295.469236 	 295.344431
12:49:35.728 AM 2026-08-02 	 2.319612 	 1.133769 	 295.800597 	 295.398240 	 -66358.383796 	 -66358.383796 	 295.454090 	 295.351891
12:49:40.878 AM 2026-08-02 	 1.060839 	 0.821429 	 295.802742 	 295.395787 	 -66358.201275 	 -66358.201275 	 295.455698 	 295.354441
12:49:46.004 AM 2026-08-02 	 1.725324 	 0.234279 	 295.802130 	 295.392722 	 -66357.951835 	 -66357.951835 	 295.450910 	 295.346355
12:49:51.142 AM 2026-08-02 	 2.183242 	 0.428232 	 295.802436 	 295.391802 	 -66357.605064 	 -66357.605064 	 295.462677 	 295.353414
12:49:56.266 AM 2026-08-02 	 1.731866 	 0.760472 	 295.800444 	 295.391649 	 -66357.446891 	 -66357.446891 	 295.463913 	 295.330628
12:50:01.412 AM 2026-08-02 	 2.011900 	 0.746366 	 295.801517 	 295.392415 	 -66357.197472 	 -66357.197472 	 295.462893 	 295.366818
12:50:06.557 AM 2026-08-02 	 1.940445 	 0.301029 	 295.801210 	 295.392569 	 -66357.081889 	 -66357.081889 	 295.438403 	 295.365874
12:50:11.703 AM 2026-08-02 	 1.672739 	 0.064255 	 295.801363 	 295.393335 	 -66356.966308 	 -66356.966308 	 295.469010 	 295.347973
12:50:16.837 AM 2026-08-02 	 1.956044 	 1.567267 	 295.801363 	 295.393182 	 -66356.832479 	 -66356.832479 	 295.451039 	 295.331882
12:50:21.989 AM 2026-08-02 	 2.377229 	 1.213366 	 295.801670 	 295.393795 	 -66356.777731 	 -66356.777731 	 295.460233 	 295.345318
12:50:27.135 AM 2026-08-02 	 1.838546 	 0.136798 	 295.801517 	 295.393182 	 -66356.497914 	 -66356.497914 	 295.459088 	 295.347469
12:50:32.292 AM 2026-08-02 	 1.320997 	 -0.025921 	 295.801057 	 295.391649 	 -66356.333678 	 -66356.333678 	 295.462654 	 295.346326
12:50:37.464 AM 2026-08-02 	 2.458245 	 0.070804 	 295.801670 	 295.391036 	 -66356.096452 	 -66356.096452 	 295.442376 	 295.332166
12:50:42.614 AM 2026-08-02 	 1.121476 	 0.955181 	 295.801210 	 295.390576 	 -66355.792326 	 -66355.792326 	 295.441132 	 295.344582
12:50:47.723 AM 2026-08-02 	 2.377732 	 0.182894 	 295.800597 	 295.391036 	 -66355.542950 	 -66355.542950 	 295.445762 	 295.333198
12:50:52.850 AM 2026-08-02 	 1.690100 	 1.573313 	 295.799831 	 295.387511 	 -66355.287498 	 -66355.287498 	 295.444246 	 295.347697
12:50:57.996 AM 2026-08-02 	 1.918304 	 0.754426 	 295.800291 	 295.387971 	 -66354.965152 	 -66354.965152 	 295.450462 	 295.339312
12:51:03.136 AM 2026-08-02 	 1.495358 	 1.565000 	 295.800597 	 295.387817 	 -66354.685389 	 -66354.685389 	 295.458735 	 295.344290
12:51:08.307 AM 2026-08-02 	 1.541905 	 0.208586 	 295.799831 	 295.387817 	 -66354.472532 	 -66354.472532 	 295.454568 	 295.336824
12:51:13.447 AM 2026-08-02 	 1.515990 	 1.022183 	 295.800904 	 295.387664 	 -66354.204946 	 -66354.204946 	 295.449235 	 295.328193
12:51:18.564 AM 2026-08-02 	 1.613109 	 0.218410 	 295.799984 	 295.386744 	 -66353.961693 	 -66353.961693 	 295.454361 	 295.336618
12:51:23.704 AM 2026-08-02 	 2.045615 	 0.998254 	 295.800750 	 295.385212 	 -66353.840069 	 -66353.840069 	 295.451038 	 295.338475
12:51:28.856 AM 2026-08-02 	 0.683685 	 -0.304005 	 295.801210 	 295.385365 	 -66353.651555 	 -66353.651555 	 295.454976 	 295.344769
12:51:34.018 AM 2026-08-02 	 1.318230 	 0.827726 	 295.799371 	 295.383832 	 -66353.590744 	 -66353.590744 	 295.456610 	 295.332273
12:51:39.157 AM 2026-08-02 	 1.673242 	 -0.053125 	 295.800904 	 295.383526 	 -66353.548177 	 -66353.548177 	 295.460674 	 295.353766
12:51:44.287 AM 2026-08-02 	 2.692236 	 -0.121135 	 295.800597 	 295.381993 	 -66353.341426 	 -66353.341426 	 295.461712 	 295.331724
12:51:49.445 AM 2026-08-02 	 1.365783 	 0.280878 	 295.800750 	 295.383373 	 -66353.335346 	 -66353.335346 	 295.449914 	 295.355250
12:51:54.590 AM 2026-08-02 	 1.159216 	 0.726971 	 295.800137 	 295.384292 	 -66353.383992 	 -66353.383992 	 295.436927 	 295.352152
12:51:59.757 AM 2026-08-02 	 1.974915 	 1.167018 	 295.799984 	 295.385212 	 -66353.335346 	 -66353.335346 	 295.452269 	 295.351482
12:52:04.871 AM 2026-08-02 	 1.881067 	 0.552413 	 295.800750 	 295.385518 	 -66353.280618 	 -66353.280618 	 295.446394 	 295.346077
12:52:10.023 AM 2026-08-02 	 3.031649 	 0.618407 	 295.799984 	 295.387358 	 -66353.159003 	 -66353.159003 	 295.453431 	 295.350760
12:52:15.168 AM 2026-08-02 	 1.398239 	 0.492967 	 295.800444 	 295.389043 	 -66353.025228 	 -66353.025228 	 295.465127 	 295.342205
12:52:20.296 AM 2026-08-02 	 1.834520 	 0.646870 	 295.799984 	 295.389197 	 -66352.958341 	 -66352.958341 	 295.459203 	 295.345700
12:52:25.420 AM 2026-08-02 	 2.906351 	 1.314624 	 295.799984 	 295.389963 	 -66352.806327 	 -66352.806327 	 295.438331 	 295.355911
12:52:30.559 AM 2026-08-02 	 1.542157 	 0.541833 	 295.800597 	 295.389043 	 -66352.696879 	 -66352.696879 	 295.469434 	 295.352637
