Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:59:26.667 AM 2026-08-31 	 90.278941 	 88.732690 	 303.025732 	 294.982295 	 -66290.039578 	 -66290.039578 	 295.028142 	 295.096482
5:59:31.768 AM 2026-08-31 	 89.918645 	 89.066692 	 303.025886 	 294.982908 	 -66290.202717 	 -66290.202717 	 295.031639 	 295.108932
5:59:36.832 AM 2026-08-31 	 90.702138 	 89.521601 	 303.024504 	 294.984134 	 -66290.196674 	 -66290.196674 	 295.034913 	 295.102309
5:59:41.975 AM 2026-08-31 	 90.318946 	 89.758376 	 303.022507 	 294.984440 	 -66290.347732 	 -66290.347732 	 295.028934 	 295.102928
5:59:47.099 AM 2026-08-31 	 91.653451 	 88.630423 	 303.020510 	 294.984900 	 -66290.371901 	 -66290.371901 	 295.012536 	 295.101614
5:59:52.245 AM 2026-08-31 	 90.463618 	 89.705479 	 303.019589 	 294.986279 	 -66290.426282 	 -66290.426282 	 295.010402 	 295.095710
5:59:57.377 AM 2026-08-31 	 91.663515 	 88.841505 	 303.018975 	 294.986279 	 -66290.432324 	 -66290.432324 	 295.023624 	 295.113643
6:00:02.530 AM 2026-08-31 	 90.269129 	 89.666185 	 303.020050 	 294.986432 	 -66290.444409 	 -66290.444409 	 295.012362 	 295.097198
6:00:07.652 AM 2026-08-31 	 89.996642 	 89.440997 	 303.020510 	 294.987505 	 -66290.462536 	 -66290.462536 	 295.028462 	 295.128847
6:00:12.756 AM 2026-08-31 	 90.751956 	 88.855107 	 303.021432 	 294.988884 	 -66290.559215 	 -66290.559215 	 295.031686 	 295.098611
6:00:17.862 AM 2026-08-31 	 90.335552 	 89.714547 	 303.020510 	 294.988118 	 -66290.559215 	 -66290.559215 	 295.017074 	 295.106152
6:00:22.948 AM 2026-08-31 	 90.208995 	 89.891120 	 303.020050 	 294.989497 	 -66290.510876 	 -66290.510876 	 295.001793 	 295.109252
6:00:28.058 AM 2026-08-31 	 90.355429 	 89.581802 	 303.019896 	 294.989957 	 -66290.571300 	 -66290.571300 	 295.014296 	 295.095833
6:00:33.157 AM 2026-08-31 	 90.537590 	 89.809257 	 303.020357 	 294.990417 	 -66290.728406 	 -66290.728406 	 295.010226 	 295.088937
6:00:38.315 AM 2026-08-31 	 90.363732 	 89.206994 	 303.021739 	 294.990877 	 -66290.746534 	 -66290.746534 	 294.985318 	 295.106919
6:00:43.473 AM 2026-08-31 	 90.388137 	 88.552086 	 303.022968 	 294.991030 	 -66290.891557 	 -66290.891557 	 295.016551 	 295.104686
